study,brand,brand_variation,audience,category,sector,market,year,company,study_id,brand_id,brand_variation_key,audience_id,category_id,sector_id,market_id,year_id,study_period,additional_category,country_of_origin,differentiation_rank,relevance_rank,esteem_rank,knowledge_rank,differentiation_c,relevance_c,esteem_c,knowledge_c,relevance_brandscape_index,knowledge_brandscape_index,relevance_category_index,knowledge_category_index,mib_innovation_rank
"South Africa 2025","VW Tiguan","VW Tiguan","All Adults",Automobiles,Auto,"South Africa",2025,-,869,77768,51503,1,2,2,39,1769,"Full Year",0,,92.714570858283,47.704590818363,84.630738522954,49.101796407186,1.1097595641358,3.6436942709421,1.0458817244916,4.2548370681907,,,,,85.547087642895
"South Africa 2025","Ford Everest","Ford Everest","All Adults",Automobiles,Auto,"South Africa",2025,-,869,27001982,64548,1,2,2,39,1769,"Full Year",0,,94.910179640719,40.01996007984,62.974051896208,51.596806387226,1.1519902983018,3.5028718186414,0.79868832007819,4.3033259168194,,,,,85.592451460714
"South Africa 2025","Ford Territory","Ford Territory","All Adults",Automobiles,Auto,"South Africa",2025,-,869,27001983,64549,1,2,2,39,1769,"Full Year",0,,89.820359281437,29.341317365269,65.868263473054,38.822355289421,1.07858599514,3.297610977325,0.82411797053521,3.8204381704681,,,,,73.870440936308
"South Africa 2025",GWM,GWM,"All Adults",Automobiles,Auto,"South Africa",2025,-,869,27001985,64550,1,2,2,39,1769,"Full Year",0,,88.223552894212,10.379241516966,21.656686626747,27.345309381238,1.0605616751396,2.8773694831025,0.4632520608379,3.3445973963653,,,,,71.429867537651
"South Africa 2025",Jaecoo,Jaecoo,"All Adults",Automobiles,Auto,"South Africa",2025,-,869,27001992,64551,1,2,2,39,1769,"Full Year",0,,93.912175648703,13.572854291417,7.9840319361277,4.3912175648703,1.1355669922727,2.9758614831354,0.35163254437211,1.7237776998211,,,,,79.359462892396
"South Africa 2025",Jetour,Jetour,"All Adults",Automobiles,Auto,"South Africa",2025,-,869,27001994,64552,1,2,2,39,1769,"Full Year",0,,95.309381237525,14.37125748503,15.768463073852,9.8802395209581,1.168778789643,2.9954036414287,0.41889124389089,2.2524508783684,,,,,86.672110324804
"South Africa 2025","VW Amarok","VW Amarok","All Adults",Automobiles,Auto,"South Africa",2025,-,869,27002043,64553,1,2,2,39,1769,"Full Year",0,,93.712574850299,53.892215568862,79.940119760479,50.299401197605,1.1339513550105,3.7284109980118,0.97651473116581,4.2787919277747,,,,,78.896751950643
"South Africa 2025",Toyota,Toyota,"All Adults",Automobiles,Auto,"South Africa",2025,"Toyota Motor Corporation",869,347,25,1,2,2,39,1769,"Full Year",0,JP,92.614770459082,81.437125748503,98.303393213573,91.017964071856,1.1094560933946,4.472938748953,1.6310696101645,5.3474997543402,,,,,93.866811830883
"South Africa 2025",Ford,Ford,"All Adults",Automobiles,Auto,"South Africa",2025,"Ford Motor Company",869,310,9,1,2,2,39,1769,"Full Year",0,,90.518962075848,49.500998003992,86.127744510978,72.255489021956,1.0820741084183,3.6586665839589,1.0720020271205,4.9176726097822,,,,,84.703320631464
"South Africa 2025",Honda,Honda,"All Adults",Automobiles,Auto,"South Africa",2025,"Honda Motor Co Ltd ADR",869,309,12,1,2,2,39,1769,"Full Year",0,JP,74.950099800399,47.305389221557,66.167664670659,69.061876247505,0.96890364705874,3.6349981974301,0.82549147617534,4.8175471550222,,,,,76.238432226455
"South Africa 2025",Tesla,"Tesla [automobiles]","All Adults",Automobiles,Auto,"South Africa",2025,"Tesla Inc",869,258,-27755,1,2,2,39,1769,"Full Year",0,US,99.40119760479,10.678642714571,56.586826347305,48.003992015968,1.4310332082113,2.8867595596597,0.72796600926479,4.2072262337374,,,,,98.357829794954
"South Africa 2025",Nissan,Nissan,"All Adults",Automobiles,Auto,"South Africa",2025,"Nissan Motor Co Ltd ADR",869,147,19,1,2,2,39,1769,"Full Year",0,JP,71.457085828343,50.299401197605,75.848303393214,74.151696606786,0.95027699498546,3.6719508120764,0.92354464920871,4.9631155051171,,,,,68.90763926692
"South Africa 2025",Mazda,Mazda,"All Adults",Automobiles,Auto,"South Africa",2025,Mazda,869,103,16,1,2,2,39,1769,"Full Year",0,JP,51.397205588822,27.744510978044,55.588822355289,63.77245508982,0.87413094216409,3.2597095922142,0.71779808074718,4.6688762740118,,,,,61.077844311377
"South Africa 2025",Haval,Haval,"All Adults",Automobiles,Auto,"South Africa",2025,-,869,38,50725,1,2,2,39,1769,"Full Year",0,,97.704590818363,41.017964071856,30.139720558882,52.395209580838,1.3254019767723,3.5116746860628,0.53059581701161,4.326555756075,,,,,91.834512792596
